Genotype	Control	Rep	X	Y	YD
155	0	4	32	4	9.37
1010	1	4	32	5	10.22
378	0	4	32	6	10.88
448	0	4	32	7	9.22
341	0	4	32	8	10.51
229	0	4	32	9	10.48
200	0	4	32	10	10.03
65	0	4	32	11	7.75
148	0	4	32	12	10.58
405	0	4	32	13	9.24
475	0	4	32	14	10.79
116	0	4	32	15	9.87
393	0	4	32	16	9.11
548	0	3	32	17	8.15
766	0	3	32	18	9.77
352	0	3	32	19	9.3
701	0	3	32	20	9.9
302	0	3	32	21	9.85
460	0	3	32	22	9.36
361	0	3	32	23	9.36
276	0	3	32	24	10.27
747	0	3	32	25	10.05
38	0	3	32	26	8.06
496	0	3	32	27	9.56
700	0	3	32	28	9.84
124	0	3	32	29	8.91
360	0	3	32	30	9.73
300	0	3	32	31	8.34
1004	1	3	32	32	9.99
