INDIV	Male	Female	FAM	Pop	WT1	WT2	WT3
264	232	10232	232-10232	4	16.0	15.1	16.9
265	13	10013	13-10013	4	15.0	16.3	17.1
266	50	10050	50-10050	4	15.8	15.8	16.5
267	57	10057	57-10057	4	14.0	15.5	15.1
268	10	10010	10-10010	4	13.5	15.1	15.0
269	35	10035	35-10035	4	19.2	20.2	21.0
270	61	10061	61-10061	4	17.8	19.4	19.1
271	10	10010	10-10010	4	15.0	17.0	17.6
272	17	10017	17-10017	4	16.0	17.1	17.7
273	17	10017	17-10017	4	14.2	16.3	16.5
274	56	10056	56-10056	4	14.9	15.4	15.8
275	40	10040	40-10040	5	16.5	19.0	18.9
276	14	10014	14-10014	5	17.2	18.5	18.9
277	46	10046	46-10046	5	16.2	21.0	18.9
278	10	10010	10-10010	5	16.0	16.0	17.5
279	56	10056	56-10056	5	15.4	16.5	17.3
280	56	10056	56-10056	5	16.5	17.5	18.4
281	10	10010	10-10010	5	15.0	16.0	16.0
282	35	10035	35-10035	5	15.0	16.0	16.2
283	5	1005	5-1005	5	15.2	16.5	16.3
284	26	10026	26-10026	5	15.6	16.9	16.7
285	232	10232	232-10232	5	16.0	17.0	16.7
286	232	10232	232-10232	5	16.0	17.3	18.2
287	3	1003	3-1003	5	15.2	15.7	16.3
288	59	10059	59-10059	5	15.2	16.7	17.0
289	5	1005	5-1005	5	16.2	17.5	18.3
290	46	10046	46-10046	5	17.0	19.5	20.0
291	3	1003	3-1003	5	16.7	18.1	19.0
292	5	1005	5-1005	5	15.4	16.7	17.4
293	14	10014	14-10014	5	15.5	16.0	16.9
294	444	10444	444-10444	5	16.5	18.2	18.6
295	61	10061	61-10061	5	17.5	20.0	19.9
296	56	10056	56-10056	5	16.2	17.0	17.7
297	8	1008	8-1008	5	15.4	17.0	17.6
298	30	10030	30-10030	5	15.5	16.0	17.1
299	17	10017	17-10017	5	15.2	16.5	16.9
300	232	10232	232-10232	5	15.2	15.5	16.5
301	17	10017	17-10017	5	15.2	17.0	16.6
302	36	10036	36-10036	5	16.0	18.0	17.7
303	39	10039	39-10039	5	15.2	16.0	16.3
304	35	10035	35-10035	5	17.9	18.3	18.9
305	34	10034	34-10034	5	14.0	15.2	15.3
306	3	1003	3-1003	5	15.4	15.5	16.9
307	333	10333	333-10333	5	15.2	16.5	17.0
308	5	1005	5-1005	5	15.3	16.8	16.3
309	56	10056	56-10056	5	16.2	17.3	18.0
310	232	10232	232-10232	5	13.5	16.0	14.8
311	46	10046	46-10046	5	17.2	19.2	18.7
312	12	10012	12-10012	5	15.0	17.0	16.4
313	59	10059	59-10059	5	14.2	17.6	17.4
314	13	10013	13-10013	5	16.4	17.6	17.9
315	46	10046	46-10046	5	15.2	16.3	16.2
316	46	10046	46-10046	5	17.4	17.6	17.8
317	52	10052	52-10052	5	18.0	18.4	19.0
318	56	10056	56-10056	5	15.8	16.0	15.9
319	34	10034	34-10034	5	18.5	18.5	18.7
320	26	10026	26-10026	5	14.2	16.0	15.7
321	232	10232	232-10232	5	16.2	17.2	17.4
322	34	10034	34-10034	5	16.2	18.0	18.4
323	35	10035	35-10035	5	16.0	17.2	16.7
324	444	10444	444-10444	5	14.4	16.2	15.7
325	21	10021	21-10021	5	14.5	16.0	16.5
326	21	10021	21-10021	5	16.7	18.0	18.3
327	61	10061	61-10061	5	15.2	17.6	17.6
328	5	1005	5-1005	5	13.5	14.5	14.9
329	14	10014	14-10014	5	15.4	16.8	16.4
330	40	10040	40-10040	5	19.0	17.7	18.8
331	59	10059	59-10059	5	16.7	14.4	16.8
332	59	10059	59-10059	5	16.2	16.8	17.0
333	35	10035	35-10035	5	16.2	17.3	17.3
334	12	10012	12-10012	5	15.2	15.3	15.7
335	232	10232	232-10232	5	16.5	17.0	17.0
336	17	10017	17-10017	5	16.0	16.7	17.4
337	40	10040	40-10040	5	17.2	18.6	18.2
338	46	10046	46-10046	5	18.2	18.8	19.9
339	61	10061	61-10061	5	14.0	17.8	16.2
340	26	10026	26-10026	5	16.5	18.0	18.6
341	26	10026	26-10026	5	15.2	15.4	16.0
342	10	10010	10-10010	5	14.0	14.5	14.7
343	52	10052	52-10052	5	16.2	18.2	18.9
344	3	1003	3-1003	5	15.5	16.6	16.8
345	34	10034	34-10034	5	15.8	17.6	17.2
346	5	1005	5-1005	5	17.2	17.0	17.2
347	39	10039	39-10039	5	17.0	18.0	19.1
348	52	10052	52-10052	5	17.7	17.1	18.3
349	50	10050	50-10050	5	16.5	18.5	18.0
350	26	10026	26-10026	5	14.8	16.4	15.7
351	40	10040	40-10040	5	16.7	18.0	18.1
352	3	1003	3-1003	5	16.0	16.6	17.3
353	26	10026	26-10026	5	16.0	17.0	18.1
354	5	1005	5-1005	5	17.5	17.8	19.0
355	8	1008	8-1008	5	16.2	17.8	17.7
356	56	10056	56-10056	5	15.5	16.5	17.4
357	40	10040	40-10040	5	16.5	18.2	18.3
358	14	10014	14-10014	6	14.4	15.9	15.8
359	232	10232	232-10232	6	14.1	18.0	16.3
360	4	1004	4-1004	6	14.5	14.6	15.5
361	56	10056	56-10056	6	13.5	17.5	16.2
362	8	1008	8-1008	6	16.2	16.9	17.3
363	30	10030	30-10030	6	15.5	15.5	15.6
364	8	1008	8-1008	6	16.5	16.8	17.8
365	10	10010	10-10010	6	14.0	14.0	14.1
366	30	10030	30-10030	6	17.0	15.5	17.6
367	57	10057	57-10057	6	14.9	15.0	16.0
368	10	10010	10-10010	6	14.2	14.4	14.4
369	50	10050	50-10050	6	14.2	15.4	15.5
370	56	10056	56-10056	6	18.2	17.5	19.0
371	57	10057	57-10057	6	15.0	15.0	15.2
372	21	10021	21-10021	6	16.0	16.3	16.5
373	4	1004	4-1004	6	15.7	16.0	17.2
374	666	10666	666-10666	6	14.0	14.9	14.6
375	10	10010	10-10010	6	14.9	14.8	15.5
376	8	1008	8-1008	6	14.2	14.3	14.3
377	57	10057	57-10057	6	15.0	15.5	15.8
378	51	10051	51-10051	6	15.5	17.8	17.9
379	59	10059	59-10059	6	14.8	15.7	16.7
380	17	10017	17-10017	6	14.8	15.4	15.4
381	56	10056	56-10056	6	16.0	16.2	17.1
382	59	10059	59-10059	6	15.0	15.0	15.5
383	34	10034	34-10034	6	14.0	14.4	14.7
384	57	10057	57-10057	6	15.0	14.0	14.8
385	30	10030	30-10030	6	16.4	18.0	18.5
386	3	1003	3-1003	6	15.5	15.8	17.2
387	34	10034	34-10034	6	13.7	13.6	14.0
388	46	10046	46-10046	6	17.3	16.6	17.0
389	52	10052	52-10052	6	17.6	16.5	18.5
390	232	10232	232-10232	6	14.0	15.6	15.5
391	4	1004	4-1004	6	14.2	14.6	14.9
392	3	1003	3-1003	6	16.5	16.6	17.3
393	777	10777	777-10777	6	14.5	16.8	15.9
394	30	10030	30-10030	6	16.5	15.5	17.4
395	8	1008	8-1008	6	14.0	18.6	16.6
396	21	10021	21-10021	6	14.5	14.6	14.7
397	17	10017	17-10017	6	16.4	18.0	18.5
398	13	10013	13-10013	6	15.2	15.4	16.3
399	21	10021	21-10021	6	15.2	15.5	16.1
400	10	10010	10-10010	6	15.0	15.0	16.0
401	5	1005	5-1005	6	16.0	15.9	16.5
402	34	10034	34-10034	6	15.0	15.3	16.6
403	17	10017	17-10017	6	13.6	13.8	14.6
404	21	10021	21-10021	6	15.0	16.5	17.3
405	57	10057	57-10057	6	16.0	15.7	17.4
406	11	10011	11-10011	6	14.9	14.8	14.9
407	56	10056	56-10056	6	14.6	16.9	16.4
408	21	10021	21-10021	6	16.4	18.0	18.7
409	52	10052	52-10052	6	15.0	15.3	15.4
410	4	1004	4-1004	6	15.2	15.2	16.5
411	52	10052	52-10052	6	15.2	15.4	15.9
412	10	10010	10-10010	6	15.2	15.0	15.1
413	21	10021	21-10021	6	17.0	14.9	17.3
414	4	1004	4-1004	6	17.2	18.1	19.0
415	34	10034	34-10034	6	13.9	14.8	15.5
416	11	10011	11-10011	6	18.2	15.8	17.8
417	57	10057	57-10057	6	13.9	14.4	14.8
418	26	10026	26-10026	6	16.4	18.0	17.6
419	30	10030	30-10030	6	15.9	17.0	17.1
420	36	10036	36-10036	6	15.5	16.2	16.4
421	30	10030	30-10030	6	16.8	17.9	18.5
422	10	10010	10-10010	6	16.2	15.9	16.3
423	232	10232	232-10232	6	14.9	15.2	15.7
424	8	1008	8-1008	6	15.5	16.8	17.7
425	34	10034	34-10034	6	15.7	14.8	16.0
426	46	10046	46-10046	6	14.2	13.6	15.0
427	4	1004	4-1004	6	15.6	16.1	17.0
428	17	10017	17-10017	6	15.0	16.4	17.0
