INDIV	Sire	Dam	FAM	DaysM	Sex	Market
1722	525	529	525-529	598.72	1	1
1723	525	529	525-529	628.34	2	1
1724	525	529	525-529	697.66	2	1
1725	525	529	525-529	491.97	1	0
1726	525	529	525-529	549.79	2	1
1727	630	523	630-523	593.03	2	1
1728	630	523	630-523	461.17	1	0
1729	630	523	630-523	470.01	2	0
1730	630	523	630-523	650.84	2	1
1731	630	523	630-523	587.13	2	1
1732	630	523	630-523	494	2	1
1733	630	523	630-523	518.48	2	0
1734	711	549	711-549	581.23	1	1
1735	711	549	711-549	532.08	1	1
1736	711	549	711-549	578.3	2	1
1737	711	549	711-549	455.98	1	0
1738	711	549	711-549	508.76	2	1
1739	711	549	711-549	477.26	2	0
1740	711	549	711-549	515.75	2	1
1741	582	533	582-533	576.49	1	1
1742	582	533	582-533	663.47	1	1
1743	582	533	582-533	587.18	2	1
1744	582	533	582-533	605.89	2	1
1745	582	533	582-533	538.61	2	1
1746	678	717	678-717	538.3	2	0
1747	678	717	678-717	694.17	2	1
1748	678	717	678-717	579.83	2	1
1749	678	717	678-717	688.65	1	1
1750	556	543	556-543	616.01	2	1
1751	556	543	556-543	545.58	2	1
1752	556	543	556-543	530.52	2	1
1753	556	543	556-543	487.76	1	0
1754	556	543	556-543	546.26	2	1
1755	556	543	556-543	519.65	1	1
1756	556	543	556-543	473.99	1	1
1757	556	543	556-543	540.42	2	1
1758	556	543	556-543	639.99	1	1
1759	556	543	556-543	529.8	2	1
1760	556	543	556-543	570.95	2	1
1761	556	543	556-543	653.79	2	1
1762	556	543	556-543	599.32	1	1
1763	556	543	556-543	559.33	2	1
1764	708	735	708-735	564.21	1	1
1765	708	735	708-735	621.72	1	1
1766	708	735	708-735	584.72	1	1
1767	708	735	708-735	558.66	2	1
1768	708	735	708-735	482.57	2	1
1769	708	735	708-735	640.44	2	1
1770	708	735	708-735	526.48	1	1
1771	708	735	708-735	541.03	1	1
1772	708	735	708-735	625.24	1	1
1773	708	735	708-735	571.39	2	1
1774	590	567	590-567	496.29	2	1
1775	603	535	603-535	633.56	2	1
1776	603	535	603-535	585.89	2	1
1777	603	535	603-535	697.53	2	1
1778	603	535	603-535	467.72	1	0
1779	603	535	603-535	736.58	1	1
1780	603	535	603-535	516.97	1	1
1781	603	535	603-535	598.32	2	1
1782	603	535	603-535	547.06	1	1
1783	644	516	644-516	492.45	1	0
1784	644	516	644-516	589.1	2	1
1785	644	516	644-516	501.11	2	0
1786	644	516	644-516	450.56	1	0
1787	644	516	644-516	552.04	1	1
1788	598	506	598-506	565.03	2	1
1789	598	506	598-506	678.29	1	1
1790	598	506	598-506	584.66	2	1
1791	598	506	598-506	541.9	2	1
1792	598	506	598-506	538.88	1	1
1793	598	506	598-506	533.9	1	1
1794	593	615	593-615	561.92	2	1
1795	593	615	593-615	526.43	2	1
1796	593	615	593-615	614.94	2	1
1797	593	615	593-615	699.55	1	1
1798	593	615	593-615	651.57	2	1
1799	593	615	593-615	646.39	1	1
1800	593	615	593-615	586.63	2	1
1801	593	615	593-615	628.97	1	1
1802	593	615	593-615	659.98	2	1
1803	593	615	593-615	603.75	2	1
1804	593	615	593-615	483.76	1	1
1805	593	615	593-615	823.81	2	1
1806	737	639	737-639	572.08	2	1
1807	737	639	737-639	693.17	2	1
1808	737	639	737-639	532.8	2	0
1809	737	639	737-639	504.46	1	1
1810	737	639	737-639	593.5	1	1
1811	737	639	737-639	599.67	2	1
1812	737	639	737-639	592.39	1	1
1813	737	639	737-639	551.46	2	1
1814	737	639	737-639	528.54	1	1
1815	737	639	737-639	552.58	1	1
1816	713	601	713-601	698.57	2	1
1817	713	601	713-601	476.6	2	0
1818	713	601	713-601	545.95	2	1
1819	713	601	713-601	491.64	1	0
1820	713	601	713-601	489.81	2	1
1821	713	601	713-601	495.04	2	0
1822	713	601	713-601	566.88	1	1
1823	713	601	713-601	466.34	1	1
1824	713	601	713-601	539.99	2	1
1825	645	675	645-675	566.36	2	1
1826	645	675	645-675	490.55	1	1
1827	645	675	645-675	628.04	1	1
1828	645	675	645-675	483.97	1	1
1829	645	675	645-675	609.54	2	1
1830	645	675	645-675	601.7	1	1
1831	645	532	645-532	559.15	1	1
1832	645	532	645-532	591.11	1	1
1833	645	532	645-532	453.77	1	0
1834	645	532	645-532	595.53	1	1
1835	645	532	645-532	522.9	1	1
1836	645	532	645-532	466.67	1	1
1837	554	632	554-632	529.86	2	0
1838	554	632	554-632	719.26	2	1
1839	554	632	554-632	524.24	1	1
1840	554	632	554-632	481.42	1	0
1841	554	632	554-632	592.75	2	1
1842	554	632	554-632	544.11	2	1
1843	554	632	554-632	521.2	1	1
1844	554	632	554-632	601.49	2	1
1845	554	632	554-632	461.56	2	0
1846	554	684	554-684	442.99	1	0
1847	554	684	554-684	479.2	1	0
1848	554	684	554-684	546.66	2	1
1849	554	684	554-684	500.45	1	0
1850	554	684	554-684	507.86	1	1
1851	554	684	554-684	428.47	1	0
1852	554	684	554-684	507.78	2	1
1853	554	684	554-684	513.41	2	1
1854	538	672	538-672	485	1	1
1855	538	672	538-672	547.73	2	1
1856	538	672	538-672	619.14	1	1
1857	538	672	538-672	543.15	1	1
1858	538	672	538-672	641.5	1	1
1859	538	672	538-672	490.24	2	0
1860	538	672	538-672	483.45	1	1
1861	538	503	538-503	503.75	2	1
1862	538	503	538-503	534.14	2	1
1863	538	503	538-503	470.5	2	0
1864	538	503	538-503	581.11	2	1
1865	538	503	538-503	517.97	1	1
1866	538	503	538-503	471.12	1	0
1867	538	503	538-503	521.77	1	1
1868	685	667	685-667	532.22	2	1
1869	685	667	685-667	515.1	2	0
1870	685	667	685-667	661.6	2	1
1871	685	667	685-667	496.62	1	1
1872	685	667	685-667	587.73	2	1
1873	685	667	685-667	538.68	2	1
1874	685	667	685-667	542.79	2	1
1875	685	667	685-667	550.79	2	1
1876	685	667	685-667	575.25	1	1
1877	685	505	685-505	477.83	1	1
1878	685	505	685-505	589.46	1	1
1879	685	505	685-505	624.7	2	1
1880	685	505	685-505	549.19	1	1
1881	685	505	685-505	638.17	2	1
1882	685	505	685-505	516.91	1	1
1883	685	505	685-505	539.65	1	1
1884	685	505	685-505	484.24	1	0
1885	685	505	685-505	577.5	1	1
1886	685	505	685-505	568.72	2	1
1887	700	628	700-628	629.23	1	1
1888	700	628	700-628	506.16	2	1
1889	700	628	700-628	560.41	2	1
1890	700	628	700-628	502.53	2	0
1891	700	628	700-628	538.01	1	1
1892	700	726	700-726	537.35	2	1
1893	660	721	660-721	627.26	1	1
1894	660	721	660-721	530.98	2	0
1895	660	721	660-721	526.62	2	1
1896	660	647	660-647	476.64	2	0
1897	660	647	660-647	609.32	1	1
1898	660	647	660-647	544.52	1	1
1899	660	647	660-647	572.03	2	1
1900	660	647	660-647	577.12	2	1
1901	660	647	660-647	519.59	1	1
1902	660	647	660-647	558.69	2	1
1903	660	647	660-647	491.57	1	1
1904	687	548	687-548	588.16	2	1
1905	687	548	687-548	644.72	1	1
1906	687	548	687-548	523.59	2	1
1907	687	548	687-548	434.68	2	0
1908	687	548	687-548	664.18	2	1
1909	687	673	687-673	582.33	2	1
1910	687	673	687-673	528.94	2	1
1911	687	673	687-673	617.31	2	1
1912	687	673	687-673	527.81	1	1
1913	687	673	687-673	591.38	2	1
1914	687	673	687-673	565.18	2	1
1915	687	673	687-673	571.69	2	1
1916	687	673	687-673	583.61	1	1
1917	687	673	687-673	490.04	1	1
1918	725	704	725-704	553.38	2	1
1919	725	704	725-704	601.4	1	1
1920	725	704	725-704	595.01	1	1
1921	725	704	725-704	781.98	2	1
1922	725	704	725-704	534.67	2	1
1923	725	704	725-704	568.61	2	1
1924	725	704	725-704	525.85	2	1
1925	732	625	732-625	754.11	2	1
1926	732	625	732-625	686.68	2	1
1927	732	625	732-625	624.07	2	1
1928	732	625	732-625	793.39	2	1
1929	732	570	732-570	602.46	1	1
1930	732	570	732-570	616.87	2	1
1931	732	570	732-570	499.26	2	1
1932	732	570	732-570	738.12	2	1
1933	732	570	732-570	732.71	2	1
