IDSORT	FamilyID	Female	Male	cloneid	Rep	IncBlock	Tree	VOL
3072	36	Par912	Par920	530	3	79	7	NA
3073	1	Par915	Par932	13	3	79	8	298.8255
3075	59	Par914	Par926	831	3	79	10	439.1781
3076	19	Par913	Par922	258	3	78	6	630.1264
3077	48	Par910	Par911	694	3	78	7	402.0959
3078	1	Par915	Par932	2	3	78	8	439.2273
3079	58	Par919	Par926	824	3	78	9	415.5047
3080	45	Par901	Par919	654	3	78	10	NA
3081	46	Par927	Par931	671	3	89	1	NA
3082	16	Par914	Par907	228	3	89	2	548.3911
3083	27	Par923	Par905	393	3	89	3	NA
3084	37	Par906	Par920	533	3	89	4	NA
3085	35	Par925	Par924	512	3	89	5	489.4625
3087	25	Par905	Par927	352	3	90	2	NA
3088	20	Par917	Par901	281	3	90	3	NA
3089	3	Par903	Par927	32	3	90	4	NA
3090	48	Par910	Par911	700	3	90	5	549.9601
3091	19	Par913	Par922	260	3	91	1	537.7436
3092	38	Par923	Par931	545	3	91	2	379.9207
3093	47	Par928	Par904	689	3	91	3	NA
3094	17	Par916	Par919	233	3	91	4	NA
3095	12	Par917	Par921	170	3	91	5	NA
3097	1	Par915	Par932	4	3	92	2	NA
3099	49	Par906	Par929	707	3	92	4	295.4174
3100	45	Par901	Par919	661	3	92	5	542.7295
3101	33	Par908	Par914	485	3	93	1	615.6094
3102	3	Par903	Par927	37	3	93	2	522.6272
3103	25	Par905	Par927	345	3	93	3	NA
3104	38	Par923	Par931	559	3	93	4	NA
3106	16	Par914	Par907	226	3	94	1	469.0658
3108	60	Par929	Par904	841	3	94	3	NA
3109	50	Par908	Par909	724	3	94	4	NA
3110	11	Par929	Par920	155	3	94	5	370.7072
3111	10	Par905	Par930	134	3	95	1	433.2967
3113	26	Par922	Par921	365	3	95	3	483.4647
3115	59	Par914	Par926	834	3	95	5	270.3828
3116	22	Par913	Par923	307	3	96	1	267.5913
3117	46	Par927	Par931	667	3	96	2	776.4067
3119	49	Par906	Par929	710	3	96	4	294.4985
3120	37	Par906	Par920	537	3	96	5	462.3707
3122	11	Par929	Par920	146	3	97	2	875.2649
3124	60	Par929	Par904	843	3	97	4	522.4424
3125	27	Par923	Par905	391	3	97	5	726.3294
3126	11	Par929	Par920	149	3	98	1	NA
3127	1	Par915	Par932	14	3	98	2	622.0541
3128	37	Par906	Par920	538	3	98	3	463.8995
3130	60	Par929	Par904	839	3	98	5	848.9426
3131	34	Par925	Par907	498	3	99	1	462.3707
3134	38	Par923	Par931	544	3	99	4	690.488
3135	18	Par917	Par911	242	3	99	5	549.9601
3136	61	Par912	Par904	853	3	99	6	686.2927
3137	51	Par905	Par921	744	3	99	7	NA
3139	12	Par917	Par921	164	3	99	9	NA
3140	20	Par917	Par901	270	3	99	10	521.0378
3141	19	Par913	Par922	259	3	98	6	211.6472
3143	49	Par906	Par929	716	3	98	8	641.3024
3144	46	Par927	Par931	669	3	98	9	NA
3145	35	Par925	Par924	513	3	98	10	NA
3148	38	Par923	Par931	546	3	97	8	522.4424
3149	46	Par927	Par931	673	3	97	9	561.1034
3151	35	Par925	Par924	516	3	96	6	NA
3152	16	Par914	Par907	217	3	96	7	533.3791
3153	1	Par915	Par932	5	3	96	8	717.369
3154	11	Par929	Par920	145	3	96	9	489.1513
3155	27	Par923	Par905	394	3	96	10	NA
3156	49	Par906	Par929	706	3	95	6	427.366
3157	45	Par901	Par919	665	3	95	7	NA
3158	16	Par914	Par907	216	3	95	8	487.6409
3159	36	Par912	Par920	529	3	95	9	357.247
3161	46	Par927	Par931	670	3	94	6	568.8899
3162	35	Par925	Par924	505	3	94	7	415.4307
3163	1	Par915	Par932	6	3	94	8	463.7218
3164	37	Par906	Par920	540	3	94	9	NA
3165	27	Par923	Par905	388	3	94	10	NA
3166	51	Par905	Par921	740	3	93	6	473.7203
3168	47	Par928	Par904	685	3	93	8	NA
3169	61	Par912	Par904	868	3	93	9	NA
3170	12	Par917	Par921	159	3	93	10	600.0362
3171	16	Par914	Par907	219	3	92	6	344.3397
3172	36	Par912	Par920	528	3	92	7	NA
3173	34	Par925	Par907	499	3	92	8	445.158
3174	21	Par932	Par931	297	3	92	9	433.2967
3175	26	Par922	Par921	376	3	92	10	597.8372
3176	2	Par910	Par908	21	3	91	6	593.4271
3179	50	Par908	Par909	731	3	91	9	NA
3180	36	Par912	Par920	522	3	91	10	NA
3181	18	Par917	Par911	246	3	90	6	766.8542
3182	10	Par905	Par930	124	3	90	7	426.8174
3184	39	Par912	Par923	573	3	90	9	723.3594
3185	34	Par925	Par907	494	3	90	10	NA
3186	1	Par915	Par932	10	3	89	6	NA
3187	22	Par913	Par923	302	3	89	7	NA
3188	60	Par929	Par904	837	3	89	8	936.654
3189	11	Par929	Par920	142	3	89	9	NA
3191	1	Par915	Par932	1	3	100	1	509.2368
3193	21	Par932	Par931	284	3	100	3	NA
3196	59	Par914	Par926	830	3	101	1	482.4405
3197	49	Par906	Par929	715	3	101	2	473.7203
3198	35	Par925	Par924	511	3	101	3	NA
3199	22	Par913	Par923	301	3	101	4	723.3594
3200	16	Par914	Par907	225	3	101	5	515.4821
3201	46	Par927	Par931	680	3	102	1	NA
