Parent	Sire	Dam
1243	574	686
1244	574	686
1245	574	686
1246	574	686
1247	574	686
1248	574	686
1249	574	686
1250	585	599
1251	585	599
1252	585	599
1253	585	599
1254	585	599
1255	585	599
1256	585	599
1257	585	599
1258	585	599
1259	693	596
1260	693	596
1261	693	596
1262	693	596
1263	693	596
1264	693	596
1265	693	596
1266	693	596
1267	572	527
1268	572	527
1269	572	527
1270	572	527
1271	572	527
1272	572	527
1273	572	527
1274	572	527
1275	572	527
1276	572	527
1277	562	536
1278	562	536
1279	562	536
1280	562	536
1281	562	536
1282	669	733
1283	669	733
1284	669	733
1285	669	733
1286	669	733
1287	669	733
1288	669	733
1289	669	733
1290	669	733
1291	669	733
1292	669	733
1293	546	620
1294	546	620
1295	546	620
1296	546	620
1297	546	620
1298	546	620
1299	546	620
1300	546	620
1301	546	620
1302	546	620
1303	507	605
1304	507	605
1305	507	605
1306	507	605
1307	507	605
1308	507	605
1309	507	605
1310	507	605
1311	507	605
1312	507	605
1313	507	605
1314	507	605
1315	507	605
1316	706	559
1317	706	559
1318	706	559
1319	706	559
1320	706	559
1321	706	559
1322	706	559
1323	706	559
1324	706	559
1325	573	560
1326	573	560
1327	573	560
1328	573	560
1329	573	560
1330	573	560
1331	566	604
1332	566	604
1333	566	604
1334	566	604
1335	566	604
1336	566	604
1337	656	662
1338	656	662
1339	656	662
1340	656	662
1341	656	662
1342	656	662
1343	656	662
1344	540	692
1345	540	692
1346	540	692
1347	540	692
1348	540	692
1349	540	692
1350	540	692
1351	540	692
1352	540	692
1353	540	692
1354	540	692
1355	511	677
1356	511	677
1357	511	677
1358	511	677
1359	511	677
1360	511	677
1361	511	677
1362	511	677
1363	511	677
1364	511	677
1365	634	657
1366	634	657
1367	634	657
1368	634	657
1369	634	657
1370	634	657
1371	581	597
1372	581	597
1373	581	597
1374	581	597
1375	581	597
1376	581	597
1377	581	597
1378	699	624
1379	699	624
1380	699	624
1381	699	624
1382	699	624
1383	589	671
1384	589	671
1385	589	671
1386	589	671
1387	589	671
1388	589	671
1389	650	606
1390	650	606
1391	650	606
1392	650	606
1393	650	606
1394	650	606
1395	650	606
1396	650	606
1397	650	606
1398	557	712
1399	557	712
1400	557	712
1401	557	712
1402	557	712
1403	557	712
1404	557	712
1405	557	712
1406	526	558
1407	526	558
1408	526	558
1409	526	558
1410	526	558
1411	526	558
1412	526	558
1413	526	558
1414	526	558
1415	526	558
1416	526	558
1417	526	558
1418	510	648
1419	510	648
1420	510	648
1421	510	648
1422	510	648
1423	510	648
1424	510	648
1425	502	681
1426	502	681
1427	502	681
1428	502	681
1429	502	681
1430	502	681
1431	502	681
1432	502	681
1433	502	681
1434	502	681
1435	502	681
1436	502	681
1437	502	681
1438	592	731
1439	592	731
1440	592	731
1441	592	731
1442	592	731
1443	592	731
1444	592	731
1445	592	731
1446	710	612
1447	710	612
1448	710	612
1449	710	612
1450	710	612
1451	710	612
1452	710	612
1453	710	612
1454	665	545
1455	665	545
1456	665	545
1457	665	545
1458	665	545
1459	665	545
1460	665	545
1461	611	739
1462	611	739
1463	611	739
1464	611	739
1465	611	739
1466	611	739
1467	611	739
1468	611	739
1469	611	739
1470	518	617
1471	518	617
1472	518	617
1473	518	617
1474	518	617
1475	518	617
1476	518	617
1477	518	617
1478	652	627
1479	652	627
1480	652	627
1481	652	627
1482	652	627
1483	651	555
1484	651	555
1485	651	555
1486	651	555
1487	651	555
1488	651	555
1489	591	595
1490	591	595
1491	591	595
1492	591	595
1493	591	595
1494	674	542
1495	674	542
1496	674	542
1497	674	542
1498	674	542
1499	674	542
1500	674	542
1501	701	539
1502	701	539
1503	701	539
1504	701	539
1505	701	539
1506	722	501
1507	722	501
1508	722	501
1509	722	501
1510	722	501
1511	722	501
1512	722	501
1513	728	683
1514	728	683
1515	728	683
1516	728	683
1517	728	683
1518	728	683
1519	626	594
1520	626	594
1521	626	594
1522	626	594
1523	626	594
1524	623	504
1525	623	504
1526	623	504
1527	623	504
1528	623	504
1529	623	504
1530	623	504
1531	610	682
1532	610	682
1533	610	682
1534	610	682
1535	610	682
1536	610	682
1537	610	682
1538	610	682
1539	610	682
1540	664	716
1541	664	716
1542	664	716
1543	664	716
1544	664	716
1545	664	716
1546	664	716
1547	528	520
1548	528	520
1549	528	520
1550	528	520
1551	528	520
1552	528	520
1553	631	690
1554	631	690
1555	631	690
1556	631	690
1557	631	690
1558	631	690
1559	588	629
1560	588	629
1561	588	629
1562	588	629
1563	588	629
1564	513	515
1565	513	515
1566	513	515
1567	513	515
1568	513	515
1569	513	515
1570	663	729
1571	663	729
1572	663	729
1573	663	729
1574	663	729
1575	663	729
1576	663	729
1577	663	729
1578	663	729
1579	663	729
1580	609	583
1581	609	583
1582	609	583
1583	609	583
1584	509	709
1585	509	709
1586	509	709
1587	509	709
1588	509	709
1589	509	709
1590	641	695
1591	641	695
1592	641	695
1593	641	695
1594	641	695
1595	641	695
1596	641	695
1597	641	695
1598	641	695
1599	641	695
1600	641	695
1601	714	738
1602	714	738
1603	714	738
1604	714	738
1605	714	738
1606	714	738
1607	724	544
1608	724	544
1609	724	544
1610	724	544
1611	724	544
1612	724	544
1613	600	734
1614	600	734
1615	600	734
1616	600	734
1617	600	734
1618	600	734
1619	600	734
1620	600	734
1621	642	670
1622	642	670
1623	642	670
1624	642	670
1625	642	670
1626	642	670
1627	642	670
1628	642	670
1629	642	670
1630	642	670
1631	642	670
1632	730	550
1633	508	534
1634	508	534
1635	508	534
1636	508	534
1637	508	534
1638	508	534
1639	508	534
1640	508	534
1641	508	534
1642	668	720
1643	668	720
1644	668	720
1645	668	720
1646	668	720
1647	668	720
1648	613	517
1649	613	517
1650	613	517
1651	613	517
1652	613	517
1653	613	517
1654	613	517
1655	621	569
1656	621	569
1657	621	569
1658	621	569
1659	621	569
1660	621	569
1661	621	569
1662	563	512
1663	563	512
1664	563	512
1665	563	512
1666	563	512
1667	563	512
1668	563	512
1669	531	561
1670	531	561
1671	531	561
1672	531	561
1673	531	561
1674	531	561
1675	531	561
1676	531	561
1677	531	561
1678	531	561
1679	531	561
1680	679	698
1681	679	698
1682	679	698
1683	679	698
1684	679	698
1685	679	698
1686	679	698
1687	679	698
1688	679	698
1689	679	698
1690	679	698
1691	614	649
1692	614	649
1693	614	649
1694	614	649
1695	614	649
1696	614	649
1697	614	649
1698	614	649
1699	586	661
1700	586	661
1701	586	661
1702	586	661
1703	586	661
1704	586	661
1705	586	661
1706	586	661
1707	715	643
1708	715	643
1709	715	643
1710	715	643
1711	715	643
1712	715	643
1713	715	643
1714	525	529
1715	525	529
1716	525	529
1717	525	529
1718	525	529
1719	525	529
1720	525	529
1721	525	529
1722	525	529
1723	525	529
1724	525	529
1725	525	529
1726	525	529
1727	630	523
1728	630	523
1729	630	523
1730	630	523
1731	630	523
1732	630	523
1733	630	523
1734	711	549
1735	711	549
1736	711	549
1737	711	549
1738	711	549
1739	711	549
1740	711	549
1741	582	533
1742	582	533
1743	582	533
1744	582	533
1745	582	533
1746	678	717
1747	678	717
1748	678	717
1749	678	717
1750	556	543
1751	556	543
1752	556	543
1753	556	543
1754	556	543
1755	556	543
1756	556	543
1757	556	543
1758	556	543
1759	556	543
1760	556	543
1761	556	543
1762	556	543
1763	556	543
1764	708	735
1765	708	735
1766	708	735
1767	708	735
1768	708	735
1769	708	735
1770	708	735
1771	708	735
1772	708	735
1773	708	735
1774	590	567
1775	603	535
1776	603	535
1777	603	535
1778	603	535
1779	603	535
1780	603	535
1781	603	535
1782	603	535
1783	644	516
1784	644	516
1785	644	516
1786	644	516
1787	644	516
1788	598	506
1789	598	506
1790	598	506
1791	598	506
1792	598	506
1793	598	506
1794	593	615
1795	593	615
1796	593	615
1797	593	615
1798	593	615
1799	593	615
1800	593	615
1801	593	615
1802	593	615
1803	593	615
1804	593	615
1805	593	615
1806	737	639
1807	737	639
1808	737	639
1809	737	639
1810	737	639
1811	737	639
1812	737	639
1813	737	639
1814	737	639
1815	737	639
1816	713	601
1817	713	601
1818	713	601
1819	713	601
1820	713	601
1821	713	601
1822	713	601
1823	713	601
1824	713	601
1825	645	675
1826	645	675
1827	645	675
1828	645	675
1829	645	675
1830	645	675
1831	645	532
1832	645	532
1833	645	532
1834	645	532
1835	645	532
1836	645	532
1837	554	632
1838	554	632
1839	554	632
1840	554	632
1841	554	632
1842	554	632
1843	554	632
1844	554	632
1845	554	632
1846	554	684
1847	554	684
1848	554	684
1849	554	684
1850	554	684
1851	554	684
1852	554	684
1853	554	684
1854	538	672
1855	538	672
1856	538	672
1857	538	672
1858	538	672
1859	538	672
1860	538	672
1861	538	503
1862	538	503
1863	538	503
1864	538	503
1865	538	503
1866	538	503
1867	538	503
1868	685	667
1869	685	667
1870	685	667
1871	685	667
1872	685	667
1873	685	667
1874	685	667
1875	685	667
1876	685	667
1877	685	505
1878	685	505
1879	685	505
1880	685	505
1881	685	505
1882	685	505
1883	685	505
1884	685	505
1885	685	505
1886	685	505
1887	700	628
1888	700	628
1889	700	628
1890	700	628
1891	700	628
1892	700	726
1893	660	721
1894	660	721
1895	660	721
1896	660	647
1897	660	647
1898	660	647
1899	660	647
1900	660	647
1901	660	647
1902	660	647
1903	660	647
1904	687	548
1905	687	548
1906	687	548
1907	687	548
1908	687	548
1909	687	673
1910	687	673
1911	687	673
1912	687	673
1913	687	673
1914	687	673
1915	687	673
1916	687	673
1917	687	673
1918	725	704
1919	725	704
1920	725	704
1921	725	704
1922	725	704
1923	725	704
1924	725	704
1925	732	625
1926	732	625
1927	732	625
1928	732	625
1929	732	570
1930	732	570
1931	732	570
1932	732	570
1933	732	570
