INDIV	REP	PLOT	FEMALE	TYPE	DBH	HT
650	4	109	FEM1	Test	23.2	12.2
651	4	109	FEM1	Test	21.1	11.5
652	4	109	FEM1	Test	22.5	11.6
653	4	109	FEM1	Test	26.5	12.3
654	4	109	FEM1	Test	24.6	12.6
655	4	110	FEM13	Test	18.9	11.6
656	4	110	FEM13	Test	17.8	9.6
657	4	110	FEM13	Test	21.6	13.3
658	4	110	FEM13	Test	22.9	12.6
659	4	110	FEM13	Test	19.5	10.7
660	4	110	FEM13	Test	22.7	13.2
661	4	111	C2	Control	20.6	11.1
662	4	111	C2	Control	20.5	10.3
663	4	111	C2	Control	24.1	NA
664	4	111	C2	Control	20.4	12.1
665	4	111	C2	Control	28.9	13.9
666	4	111	C2	Control	30.1	14.4
667	4	112	FEM16	Test	17.6	12
668	4	112	FEM16	Test	22.2	11.5
669	4	112	FEM16	Test	23.3	12.4
670	4	112	FEM16	Test	20.6	12.7
671	4	112	FEM16	Test	21.2	10.8
672	4	112	FEM16	Test	22.2	12.4
673	4	113	FEM25	Test	19.6	11.8
674	4	113	FEM25	Test	19.2	11.5
675	4	113	FEM25	Test	24.3	11.1
676	4	113	FEM25	Test	18.9	10.6
677	4	113	FEM25	Test	21	11.9
678	4	113	FEM25	Test	15.5	10.4
679	4	114	C3	Control	19.7	10.9
680	4	114	C3	Control	25.7	13.3
681	4	114	C3	Control	16.1	10.4
682	4	114	C3	Control	23.6	12.5
683	4	114	C3	Control	21.6	11.1
684	4	114	C3	Control	18.7	9.5
685	4	115	FEM5	Test	21.6	11.1
686	4	115	FEM5	Test	21.8	9.5
687	4	115	FEM5	Test	16.4	10.9
688	4	115	FEM5	Test	23.2	12.1
689	4	115	FEM5	Test	23.6	12.3
690	4	115	FEM5	Test	19.9	10.1
691	4	116	FEM8	Test	20.5	11.1
692	4	116	FEM8	Test	21.2	11.6
693	4	116	FEM8	Test	23.2	12.2
694	4	116	FEM8	Test	21.9	11.5
695	4	116	FEM8	Test	21.6	12.3
696	4	116	FEM8	Test	22.5	12.3
697	4	117	FEM21	Test	22.3	12.2
698	4	117	FEM21	Test	20.4	11.1
699	4	117	FEM21	Test	14.4	10.1
700	4	117	FEM21	Test	23.1	12.5
701	4	117	FEM21	Test	21.6	12.2
702	4	117	FEM21	Test	22.3	10.8
703	4	118	FEM2	Test	19.7	9.8
704	4	118	FEM2	Test	22.1	11.8
705	4	118	FEM2	Test	22.4	12.1
706	4	118	FEM2	Test	20.9	11
707	4	118	FEM2	Test	22.5	10.8
708	4	118	FEM2	Test	19.3	9.9
709	4	119	FEM9	Test	23.1	11.5
710	4	119	FEM9	Test	18.9	10.2
711	4	119	FEM9	Test	19.2	10.8
712	4	119	FEM9	Test	25.4	13.1
713	4	119	FEM9	Test	20.1	9.7
714	4	119	FEM9	Test	22.1	11.6
715	4	120	FEM20	Test	21.5	11.9
716	4	120	FEM20	Test	22.6	11.5
717	4	120	FEM20	Test	20.7	12.6
718	4	120	FEM20	Test	23.4	11.3
719	4	120	FEM20	Test	24.2	11.2
720	4	120	FEM20	Test	19.6	12.5
721	4	121	FEM23	Test	22.1	11.6
722	4	121	FEM23	Test	20.1	10.5
723	4	121	FEM23	Test	21.2	10.3
724	4	121	FEM23	Test	18.6	11.1
725	4	121	FEM23	Test	23.6	11.5
726	4	121	FEM23	Test	20.4	9.7
727	4	122	FEM7	Test	24.5	11.5
728	4	122	FEM7	Test	18.3	11.9
729	4	122	FEM7	Test	22.7	12.2
730	4	122	FEM7	Test	18.3	12.1
731	4	122	FEM7	Test	23.3	11.1
732	4	122	FEM7	Test	19.2	12.1
733	4	123	FEM3	Test	23.4	11.9
734	4	123	FEM3	Test	21.2	10.3
735	4	123	FEM3	Test	16.6	10.9
736	4	123	FEM3	Test	19.1	11.1
737	4	123	FEM3	Test	17.8	9.7
738	4	123	FEM3	Test	20.3	11.5
739	4	124	FEM10	Test	22	11.6
740	4	124	FEM10	Test	19.4	9.8
741	4	124	FEM10	Test	20.8	10.6
742	4	124	FEM10	Test	16.8	9.7
743	4	124	FEM10	Test	22.6	11.5
744	4	124	FEM10	Test	19.2	10.7
745	4	125	FEM19	Test	22	12.3
746	4	125	FEM19	Test	23.5	12.2
747	4	125	FEM19	Test	18.7	10.4
748	4	125	FEM19	Test	21.3	11.1
749	4	125	FEM19	Test	22.9	11.6
750	4	125	FEM19	Test	20.7	11.2
751	4	126	FEM26	Test	21.2	8.9
752	4	126	FEM26	Test	22.1	12.1
753	4	126	FEM26	Test	23.3	11.7
754	4	126	FEM26	Test	21.1	10.4
755	4	126	FEM26	Test	21.7	10.8
756	4	126	FEM26	Test	NA	NA
757	4	127	FEM11	Test	22.2	11.2
758	4	127	FEM11	Test	16.7	10.7
759	4	127	FEM11	Test	20.3	9.1
760	4	127	FEM11	Test	20.7	9.9
761	4	127	FEM11	Test	22.9	11.2
762	4	127	FEM11	Test	24.8	11.7
763	4	128	FEM17	Test	23	11.4
764	4	128	FEM17	Test	NA	NA
765	4	128	FEM17	Test	24.2	12.2
766	4	128	FEM17	Test	21.6	11.8
767	4	128	FEM17	Test	25.2	12.5
768	4	128	FEM17	Test	23.7	12.2
769	4	129	C3	Control	22.8	12.2
770	4	129	C3	Control	20.6	NA
771	4	129	C3	Control	21.9	10.8
772	4	129	C3	Control	22.1	12.3
773	4	129	C3	Control	17.1	9.4
774	4	129	C3	Control	21.6	11.7
775	4	130	FEM4	Test	14.5	9.7
776	4	130	FEM4	Test	NA	NA
777	4	130	FEM4	Test	20.4	11.3
778	4	130	FEM4	Test	23.6	11.4
779	4	130	FEM4	Test	21.9	11.4
780	4	130	FEM4	Test	16.4	10.6
781	4	131	FEM18	Test	NA	NA
782	4	131	FEM18	Test	22.1	11.3
783	4	131	FEM18	Test	22.5	12.3
784	4	131	FEM18	Test	23.6	12.1
785	4	131	FEM18	Test	21.6	11.9
786	4	131	FEM18	Test	19.2	10.4
787	4	132	C2	Control	24.3	11.8
788	4	132	C2	Control	21.1	10.6
789	4	132	C2	Control	31.4	13.5
790	4	132	C2	Control	29.3	13.3
791	4	132	C2	Control	NA	NA
792	4	132	C2	Control	23.5	10.9
793	4	133	FEM12	Test	24.5	13.2
794	4	133	FEM12	Test	26.7	12.6
795	4	133	FEM12	Test	17.3	9.1
796	4	133	FEM12	Test	24.2	12.6
797	4	133	FEM12	Test	21.5	12.1
798	4	133	FEM12	Test	24.2	12.2
799	4	134	FEM22	Test	21.1	11.9
800	4	134	FEM22	Test	22.7	12.1
801	4	134	FEM22	Test	NA	NA
802	4	134	FEM22	Test	23.9	11.1
803	4	134	FEM22	Test	19.6	11.2
804	4	134	FEM22	Test	24.5	12.2
805	4	135	C1	Control	14.5	9.9
806	4	135	C1	Control	19.4	11.7
807	4	135	C1	Control	21.9	12.9
808	4	135	C1	Control	21.9	11.6
809	4	135	C1	Control	20.3	9.2
810	4	135	C1	Control	21.5	12.1
811	4	136	FEM27	Test	19.5	9.7
812	4	136	FEM27	Test	23.5	12.1
813	4	136	FEM27	Test	20.5	12.1
814	4	136	FEM27	Test	22.6	12.8
815	4	136	FEM27	Test	23.9	12.4
816	4	136	FEM27	Test	25.4	12.5
817	5	137	FEM6	Test	25.6	13.7
818	5	137	FEM6	Test	27.1	11.8
819	5	137	FEM6	Test	23.1	11.5
820	5	137	FEM6	Test	19.1	12.1
821	5	137	FEM6	Test	19.7	11.1
822	5	137	FEM6	Test	24.7	11.3
823	5	138	FEM23	Test	25.3	11.2
824	5	138	FEM23	Test	21.6	9.9
825	5	138	FEM23	Test	21.9	10.3
826	5	138	FEM23	Test	21.2	10.5
827	5	138	FEM23	Test	21.8	11.1
828	5	138	FEM23	Test	24.1	11.5
829	5	139	FEM17	Test	20.4	11.5
830	5	139	FEM17	Test	23	10.8
831	5	139	FEM17	Test	25.8	11.3
832	5	139	FEM17	Test	18.7	12.1
833	5	139	FEM17	Test	22.1	11.2
834	5	139	FEM17	Test	24.2	12.8
835	5	140	FEM10	Test	19.4	10.5
836	5	140	FEM10	Test	21.9	10.3
837	5	140	FEM10	Test	17.9	10.3
838	5	140	FEM10	Test	20.9	11.6
839	5	140	FEM10	Test	20.5	11.2
840	5	140	FEM10	Test	22.6	11.3
841	5	141	FEM27	Test	17.5	9.8
842	5	141	FEM27	Test	23.1	12.1
843	5	141	FEM27	Test	21.9	12.2
844	5	141	FEM27	Test	18.8	9.3
845	5	141	FEM27	Test	22.3	11.6
846	5	141	FEM27	Test	18	11.1
847	5	142	FEM3	Test	20.7	11.6
848	5	142	FEM3	Test	22.3	10.6
849	5	142	FEM3	Test	19.3	10.8
850	5	142	FEM3	Test	19.8	10.5
851	5	142	FEM3	Test	16.5	11.1
852	5	142	FEM3	Test	23.1	13.8
853	5	143	FEM18	Test	22.5	12.3
854	5	143	FEM18	Test	21.5	11.3
855	5	143	FEM18	Test	21	11.6
856	5	143	FEM18	Test	22.2	10.7
857	5	143	FEM18	Test	19.8	11.1
858	5	143	FEM18	Test	22	9.7
859	5	144	FEM9	Test	21.5	11.1
860	5	144	FEM9	Test	18	9.8
861	5	144	FEM9	Test	15.7	8.8
862	5	144	FEM9	Test	19.9	10.2
863	5	144	FEM9	Test	24.9	11.2
864	5	144	FEM9	Test	18.3	9.9
865	5	145	FEM15	Test	21.1	8.8
866	5	145	FEM15	Test	23.4	12.2
867	5	145	FEM15	Test	20	9.9
868	5	145	FEM15	Test	21.1	10.4
869	5	145	FEM15	Test	25.2	12.8
870	5	145	FEM15	Test	19.7	11.4
871	5	146	FEM2	Test	23.2	10.9
872	5	146	FEM2	Test	13.2	7.3
873	5	146	FEM2	Test	24.4	10.7
874	5	146	FEM2	Test	21.6	11.8
875	5	146	FEM2	Test	24.2	11.8
876	5	146	FEM2	Test	20.1	10.1
877	5	147	FEM26	Test	20.1	10.6
878	5	147	FEM26	Test	18.5	10.4
879	5	147	FEM26	Test	23.2	11.6
880	5	147	FEM26	Test	21.2	11.5
881	5	147	FEM26	Test	21.1	11.8
882	5	147	FEM26	Test	22.4	12.6
883	5	148	C1	Control	22.2	12.2
884	5	148	C1	Control	21.9	10.8
885	5	148	C1	Control	18.8	11.1
886	5	148	C1	Control	21.3	11.1
887	5	148	C1	Control	18.2	12.5
888	5	148	C1	Control	13.1	8.9
889	5	149	C2	Control	23.6	12.8
890	5	149	C2	Control	28.8	13.1
891	5	149	C2	Control	NA	NA
892	5	149	C2	Control	23.9	11.9
893	5	149	C2	Control	25.5	13.2
894	5	149	C2	Control	24.6	13.7
895	5	150	FEM16	Test	24.2	12.5
896	5	150	FEM16	Test	22.4	12.8
897	5	150	FEM16	Test	21.7	12.4
898	5	150	FEM16	Test	21	10.5
899	5	150	FEM16	Test	19.4	10.7
900	5	150	FEM16	Test	20.7	11.9
901	5	151	FEM28	Test	20.2	9.7
902	5	151	FEM28	Test	25.9	12.7
903	5	151	FEM28	Test	21.5	12.4
904	5	151	FEM28	Test	22.1	11.9
905	5	151	FEM28	Test	24.2	12.5
906	5	151	FEM28	Test	24.7	11.4
907	5	152	C3	Control	21.4	13.2
908	5	152	C3	Control	15.8	10.1
909	5	152	C3	Control	22.1	10.8
910	5	152	C3	Control	20.1	11.8
911	5	152	C3	Control	24.5	13.1
912	5	152	C3	Control	20.4	11.9
913	5	153	FEM7	Test	19.5	11.6
914	5	153	FEM7	Test	19.7	12.8
915	5	153	FEM7	Test	25.9	12.2
916	5	153	FEM7	Test	19.7	11.1
917	5	153	FEM7	Test	22	12.8
918	5	153	FEM7	Test	26.7	12.4
919	5	154	FEM13	Test	23.6	11.3
920	5	154	FEM13	Test	NA	NA
921	5	154	FEM13	Test	23.5	12.9
922	5	154	FEM13	Test	21.3	12.9
923	5	154	FEM13	Test	21.5	11.1
924	5	154	FEM13	Test	17.4	10.7
925	5	155	FEM22	Test	20.9	12.1
926	5	155	FEM22	Test	23.4	11.9
927	5	155	FEM22	Test	24.4	12.1
928	5	155	FEM22	Test	17.7	8.7
929	5	155	FEM22	Test	20.3	10.5
930	5	155	FEM22	Test	NA	NA
931	5	156	FEM8	Test	18.7	9.3
932	5	156	FEM8	Test	24.2	12.1
933	5	156	FEM8	Test	10.5	10.4
934	5	156	FEM8	Test	20.3	11.7
935	5	156	FEM8	Test	18	10.2
936	5	156	FEM8	Test	21.1	12.2
937	5	157	FEM11	Test	24.6	12.6
938	5	157	FEM11	Test	NA	NA
939	5	157	FEM11	Test	23	10.5
940	5	157	FEM11	Test	16	8.9
941	5	157	FEM11	Test	22.6	11.2
942	5	157	FEM11	Test	22.1	10.7
943	5	158	FEM25	Test	19.2	9.7
944	5	158	FEM25	Test	15.7	9.2
945	5	158	FEM25	Test	22.5	11.2
946	5	158	FEM25	Test	20.2	11.6
947	5	158	FEM25	Test	22.5	11.1
948	5	158	FEM25	Test	19	11.9
949	5	159	FEM14	Test	25.5	13.4
950	5	159	FEM14	Test	20.2	10.5
951	5	159	FEM14	Test	21.1	10.8
952	5	159	FEM14	Test	18.6	11.1
953	5	159	FEM14	Test	19.2	10.3
954	5	159	FEM14	Test	19.5	10.2
955	5	160	C2	Control	21.2	12.6
956	5	160	C2	Control	25.5	13.5
957	5	160	C2	Control	24.6	12.4
958	5	160	C2	Control	19.7	11.5
959	5	160	C2	Control	24	12.9
960	5	160	C2	Control	25.7	12.9
961	5	161	FEM5	Test	14.9	8.5
962	5	161	FEM5	Test	23.8	10.6
963	5	161	FEM5	Test	17.7	10.6
964	5	161	FEM5	Test	24.2	11.5
965	5	161	FEM5	Test	25.5	13.3
966	5	161	FEM5	Test	NA	NA
967	5	162	FEM4	Test	26.4	12.8
968	5	162	FEM4	Test	21.3	12.1
969	5	162	FEM4	Test	19.9	11.1
970	5	162	FEM4	Test	21.3	12.4
971	5	162	FEM4	Test	20	11.8
972	5	162	FEM4	Test	19.2	11.9
973	5	163	C3	Control	23.2	12.5
974	5	163	C3	Control	20	12.6
975	5	163	C3	Control	22.9	12.4
976	5	163	C3	Control	22.1	12.8
977	5	163	C3	Control	19.6	10.6
978	5	163	C3	Control	19.2	10.6
979	5	164	FEM19	Test	21.1	11.7
980	5	164	FEM19	Test	20.2	12.1
981	5	164	FEM19	Test	18.3	10.8
982	5	164	FEM19	Test	19.7	11.1
983	5	164	FEM19	Test	19.2	12.7
984	5	164	FEM19	Test	18.6	10.6
985	5	165	FEM1	Test	25.7	12.7
986	5	165	FEM1	Test	20.5	10.9
987	5	165	FEM1	Test	22.1	11.8
988	5	165	FEM1	Test	20.7	11.5
989	5	165	FEM1	Test	24.3	13.6
990	5	165	FEM1	Test	21.5	11.1
991	5	166	FEM12	Test	24.3	12.5
992	5	166	FEM12	Test	27.4	12.7
993	5	166	FEM12	Test	19.2	11.7
994	5	166	FEM12	Test	23.7	12.3
995	5	166	FEM12	Test	20.7	12.4
996	5	166	FEM12	Test	24.5	13.6
997	5	167	C1	Control	15.8	11.1
998	5	167	C1	Control	20.2	11.5
999	5	167	C1	Control	15.7	10.2
1000	5	167	C1	Control	21.2	11.1
1001	5	167	C1	Control	20.3	11.6
1002	5	167	C1	Control	19.8	9.9
1003	5	168	FEM24	Test	20	10.9
1004	5	168	FEM24	Test	23.1	9.6
1005	5	168	FEM24	Test	10.5	8.4
1006	5	168	FEM24	Test	21.2	10.9
1007	5	168	FEM24	Test	19.6	10.4
1008	5	168	FEM24	Test	20.5	11.9
1009	5	169	FEM21	Test	16.1	9.7
1010	5	169	FEM21	Test	21.7	11.6
1011	5	169	FEM21	Test	18.6	10.3
1012	5	169	FEM21	Test	18.1	9.9
1013	5	169	FEM21	Test	20.1	11.4
1014	5	169	FEM21	Test	19.6	10.2
1015	5	170	FEM20	Test	21	12.2
1016	5	170	FEM20	Test	18.2	11.5
1017	5	170	FEM20	Test	25.9	12.3
1018	5	170	FEM20	Test	NA	NA
1019	5	170	FEM20	Test	20.6	12.1
1020	5	170	FEM20	Test	20.6	12.1
1021	6	171	FEM19	Test	21.2	11.2
1022	6	171	FEM19	Test	23.3	12.2
1023	6	171	FEM19	Test	23.4	11.9
1024	6	171	FEM19	Test	24.6	13.1
1025	6	171	FEM19	Test	20.2	10.8
1026	6	171	FEM19	Test	21.5	11.7
1027	6	172	FEM8	Test	21.7	12.1
1028	6	172	FEM8	Test	20.8	12.4
1029	6	172	FEM8	Test	21.3	13.2
1030	6	172	FEM8	Test	18.7	12.1
1031	6	172	FEM8	Test	20.4	10.9
1032	6	172	FEM8	Test	17.1	11.4
1033	6	173	FEM11	Test	NA	NA
1034	6	173	FEM11	Test	25.6	12.1
1035	6	173	FEM11	Test	20.9	11.2
1036	6	173	FEM11	Test	NA	NA
1037	6	173	FEM11	Test	22.5	10.9
1038	6	173	FEM11	Test	20.7	9.9
1039	6	174	C2	Control	22.6	12
1040	6	174	C2	Control	22.6	13.4
1041	6	174	C2	Control	18.7	11
1042	6	174	C2	Control	25.6	12.1
1043	6	174	C2	Control	22.6	8.4
1044	6	174	C2	Control	25.8	12.7
1045	6	175	FEM3	Test	21.1	10.9
1046	6	175	FEM3	Test	20.8	11.4
1047	6	175	FEM3	Test	21.8	11.8
1048	6	175	FEM3	Test	21.6	11.1
1049	6	175	FEM3	Test	16.3	9.9
1050	6	175	FEM3	Test	20.9	12.8
1051	6	176	FEM16	Test	22.5	12.8
1052	6	176	FEM16	Test	25	13.3
1053	6	176	FEM16	Test	25.6	12.5
1054	6	176	FEM16	Test	19	12.8
1055	6	176	FEM16	Test	24.3	12.7
1056	6	176	FEM16	Test	19.2	11.6
1057	6	177	FEM27	Test	17.6	9.8
1058	6	177	FEM27	Test	24.5	10.8
1059	6	177	FEM27	Test	9.7	7.2
1060	6	177	FEM27	Test	21.5	12.1
1061	6	177	FEM27	Test	25.4	13.2
1062	6	177	FEM27	Test	20.2	11.3
1063	6	178	FEM22	Test	24.1	11.2
1064	6	178	FEM22	Test	NA	NA
1065	6	178	FEM22	Test	NA	NA
1066	6	178	FEM22	Test	23.7	11.6
1067	6	178	FEM22	Test	20.4	11.9
1068	6	178	FEM22	Test	24.9	12.2
1069	6	179	C1	Control	21.1	10.4
1070	6	179	C1	Control	20.6	10.8
1071	6	179	C1	Control	18.7	11.3
1072	6	179	C1	Control	21.5	9.8
1073	6	179	C1	Control	24.7	12.4
1074	6	179	C1	Control	17.5	10.3
1075	6	180	FEM17	Test	23.1	11.6
1076	6	180	FEM17	Test	23.3	12.3
1077	6	180	FEM17	Test	24.1	11.7
1078	6	180	FEM17	Test	17.3	11.7
1079	6	180	FEM17	Test	21.8	11.8
1080	6	180	FEM17	Test	21.3	12.9
1081	6	181	FEM6	Test	NA	NA
1082	6	181	FEM6	Test	20.2	11.1
1083	6	181	FEM6	Test	19	11
1084	6	181	FEM6	Test	24.4	12.4
1085	6	181	FEM6	Test	22.8	12.2
1086	6	181	FEM6	Test	20.2	11.8
1087	6	182	FEM24	Test	NA	NA
1088	6	182	FEM24	Test	NA	NA
1089	6	182	FEM24	Test	NA	NA
1090	6	182	FEM24	Test	26.8	12.2
1091	6	182	FEM24	Test	22.8	11.7
1092	6	182	FEM24	Test	15.4	9.4
1093	6	183	FEM14	Test	24.2	10.8
1094	6	183	FEM14	Test	23.4	11.8
1095	6	183	FEM14	Test	16.9	9.2
1096	6	183	FEM14	Test	20.5	11.2
1097	6	183	FEM14	Test	21.7	10.7
1098	6	183	FEM14	Test	16.3	9.4
1099	6	184	C3	Control	27.2	12.5
1100	6	184	C3	Control	21.5	12.8
1101	6	184	C3	Control	21.3	11.3
1102	6	184	C3	Control	27.3	11.8
1103	6	184	C3	Control	21.6	12.2
1104	6	184	C3	Control	NA	NA
1105	6	185	FEM1	Test	20.4	10.6
1106	6	185	FEM1	Test	21.2	12.7
1107	6	185	FEM1	Test	21.4	11.9
1108	6	185	FEM1	Test	25.9	11.7
1109	6	185	FEM1	Test	23.9	11.8
1110	6	185	FEM1	Test	NA	NA
1111	6	186	FEM28	Test	NA	NA
1112	6	186	FEM28	Test	18.6	10.1
1113	6	186	FEM28	Test	22.5	12.7
1114	6	186	FEM28	Test	22.7	12.9
1115	6	186	FEM28	Test	NA	NA
1116	6	186	FEM28	Test	NA	NA
1117	6	187	FEM9	Test	27.5	12.8
1118	6	187	FEM9	Test	17.3	10.4
1119	6	187	FEM9	Test	21.7	10.8
1120	6	187	FEM9	Test	21.4	11.3
1121	6	187	FEM9	Test	17.2	10.9
1122	6	187	FEM9	Test	24.4	11.8
1123	6	188	FEM23	Test	20.9	11.1
1124	6	188	FEM23	Test	21.7	11.1
1125	6	188	FEM23	Test	NA	NA
1126	6	188	FEM23	Test	22.8	11.4
1127	6	188	FEM23	Test	21.5	10.5
1128	6	188	FEM23	Test	24.3	12.1
1129	6	189	C2	Control	26.1	12.5
1130	6	189	C2	Control	23.9	12.2
1131	6	189	C2	Control	NA	NA
1132	6	189	C2	Control	21.3	12.1
1133	6	189	C2	Control	23.2	11.8
1134	6	189	C2	Control	15.8	10.9
1135	6	190	FEM5	Test	21.5	10.5
1136	6	190	FEM5	Test	23.2	12.4
1137	6	190	FEM5	Test	19.7	7.2
1138	6	190	FEM5	Test	19.7	10.5
1139	6	190	FEM5	Test	23.1	11.9
1140	6	190	FEM5	Test	18.1	10.5
1141	6	191	FEM15	Test	23.3	13.3
1142	6	191	FEM15	Test	20.5	12.3
1143	6	191	FEM15	Test	22.3	12.3
1144	6	191	FEM15	Test	22.7	11.8
1145	6	191	FEM15	Test	23.5	12.4
1146	6	191	FEM15	Test	16.1	10.1
1147	6	192	FEM26	Test	25.5	11.9
1148	6	192	FEM26	Test	19.7	11.2
1149	6	192	FEM26	Test	20.6	11.3
1150	6	192	FEM26	Test	20.3	11.5
1151	6	192	FEM26	Test	22.4	12.9
1152	6	192	FEM26	Test	19.5	12.7
1153	6	193	FEM4	Test	20.9	12.5
1154	6	193	FEM4	Test	23.6	12.8
1155	6	193	FEM4	Test	18.6	9.9
1156	6	193	FEM4	Test	23.5	12.7
1157	6	193	FEM4	Test	20.2	12.1
1158	6	193	FEM4	Test	20.2	12.5
1159	6	194	FEM13	Test	20.3	11.8
1160	6	194	FEM13	Test	21.2	13.1
1161	6	194	FEM13	Test	25.4	12.2
1162	6	194	FEM13	Test	22.9	12.8
1163	6	194	FEM13	Test	21	12.5
1164	6	194	FEM13	Test	20.9	12.8
1165	6	195	FEM12	Test	22.1	11.6
1166	6	195	FEM12	Test	23.9	12.6
1167	6	195	FEM12	Test	20.5	11.5
1168	6	195	FEM12	Test	24.3	11.5
1169	6	195	FEM12	Test	23.5	12.5
1170	6	195	FEM12	Test	NA	NA
1171	6	196	FEM2	Test	23.2	12.1
1172	6	196	FEM2	Test	20.3	11.4
1173	6	196	FEM2	Test	24.3	12.5
1174	6	196	FEM2	Test	22.9	12.6
1175	6	196	FEM2	Test	11	9.2
1176	6	196	FEM2	Test	21.2	11.5
1177	6	197	FEM21	Test	20.8	10.9
1178	6	197	FEM21	Test	22.7	11.9
1179	6	197	FEM21	Test	18	10.5
1180	6	197	FEM21	Test	24.7	11.4
1181	6	197	FEM21	Test	NA	NA
1182	6	197	FEM21	Test	22.8	10.3
1183	6	198	C1	Control	NA	NA
1184	6	198	C1	Control	19.5	11.1
1185	6	198	C1	Control	19.6	10.1
1186	6	198	C1	Control	17.9	9.8
1187	6	198	C1	Control	17.7	10.5
1188	6	198	C1	Control	18.7	11.3
1189	6	199	FEM10	Test	22.9	11.5
1190	6	199	FEM10	Test	20.8	11.5
1191	6	199	FEM10	Test	22.5	12.8
1192	6	199	FEM10	Test	20.3	10.2
1193	6	199	FEM10	Test	20.7	11.7
1194	6	199	FEM10	Test	18.7	10.1
1195	6	200	FEM7	Test	23.7	13.3
1196	6	200	FEM7	Test	23	12.3
1197	6	200	FEM7	Test	21.9	12.1
1198	6	200	FEM7	Test	19.2	10.9
1199	6	200	FEM7	Test	22.2	11.2
1200	6	200	FEM7	Test	21.5	11.9
1201	6	201	C3	Control	19	10.9
1202	6	201	C3	Control	19.7	11.1
1203	6	201	C3	Control	18.8	11.9
1204	6	201	C3	Control	25.2	12.4
1205	6	201	C3	Control	17.4	10.7
1206	6	201	C3	Control	20.8	11.9
1207	6	202	FEM18	Test	NA	NA
1208	6	202	FEM18	Test	23.3	11.9
1209	6	202	FEM18	Test	NA	NA
1210	6	202	FEM18	Test	18.8	10.1
1211	6	202	FEM18	Test	24.2	12.7
1212	6	202	FEM18	Test	20.9	11.1
1213	6	203	FEM25	Test	22.3	9.5
1214	6	203	FEM25	Test	20.8	9.8
1215	6	203	FEM25	Test	20.1	11.4
1216	6	203	FEM25	Test	18.5	10.9
1217	6	203	FEM25	Test	19.7	11.1
1218	6	203	FEM25	Test	25.3	10.6
1219	6	204	FEM20	Test	NA	NA
1220	6	204	FEM20	Test	24.6	11.2
1221	6	204	FEM20	Test	23	12.2
1222	6	204	FEM20	Test	NA	NA
1223	6	204	FEM20	Test	20.1	10.5
1224	6	204	FEM20	Test	19	10.3
1225	7	205	FEM4	Test	23.3	12.2
1226	7	205	FEM4	Test	24.9	11.9
1227	7	205	FEM4	Test	23.1	11.3
1228	7	205	FEM4	Test	23.5	10.8
1229	7	205	FEM4	Test	16.7	10.1
1230	7	205	FEM4	Test	24.3	12.3
1231	7	206	FEM17	Test	23.3	12.1
1232	7	206	FEM17	Test	21.7	12.2
1233	7	206	FEM17	Test	20.3	11.5
1234	7	206	FEM17	Test	25.6	12.3
1235	7	206	FEM17	Test	18.7	10.2
1236	7	206	FEM17	Test	26.7	13.5
1237	7	207	FEM19	Test	23.8	12.6
1238	7	207	FEM19	Test	NA	NA
1239	7	207	FEM19	Test	26.6	11.5
1240	7	207	FEM19	Test	NA	NA
1241	7	207	FEM19	Test	26	12.6
1242	7	207	FEM19	Test	23.9	12.4
1243	7	208	FEM26	Test	19.8	10.1
1244	7	208	FEM26	Test	21.2	10.9
1245	7	208	FEM26	Test	23.4	11.1
1246	7	208	FEM26	Test	NA	NA
1247	7	208	FEM26	Test	23.8	12.4
1248	7	208	FEM26	Test	21.7	11.4
1249	7	209	C3	Control	22.2	11.1
1250	7	209	C3	Control	24.4	12.5
1251	7	209	C3	Control	23.2	11.7
1252	7	209	C3	Control	22.5	11.1
1253	7	209	C3	Control	22.8	12
1254	7	209	C3	Control	19.5	10.3
1255	7	210	FEM3	Test	23	12.7
1256	7	210	FEM3	Test	22.8	11.1
1257	7	210	FEM3	Test	NA	NA
1258	7	210	FEM3	Test	21.5	11.3
1259	7	210	FEM3	Test	19.6	10.2
1260	7	210	FEM3	Test	15.5	9.6
1261	7	211	FEM8	Test	18.2	10.1
1262	7	211	FEM8	Test	22.5	11.9
1263	7	211	FEM8	Test	20.1	11.4
1264	7	211	FEM8	Test	20.1	11.4
1265	7	211	FEM8	Test	20.8	11.1
1266	7	211	FEM8	Test	21.4	11.7
1267	7	212	C2	Control	21.9	11.2
1268	7	212	C2	Control	NA	NA
1269	7	212	C2	Control	NA	NA
1270	7	212	C2	Control	NA	NA
1271	7	212	C2	Control	28.1	12.6
1272	7	212	C2	Control	20.3	11.9
1273	7	213	FEM28	Test	23.5	13.1
1274	7	213	FEM28	Test	21.4	12.5
1275	7	213	FEM28	Test	23.1	12.1
1276	7	213	FEM28	Test	24.8	13.3
1277	7	213	FEM28	Test	22.6	12.2
1278	7	213	FEM28	Test	23.5	13.1
1279	7	214	FEM12	Test	26	12.3
1280	7	214	FEM12	Test	19.4	11.6
1281	7	214	FEM12	Test	24.6	12.6
1282	7	214	FEM12	Test	23.4	12.1
1283	7	214	FEM12	Test	NA	NA
1284	7	214	FEM12	Test	24	11.1
1285	7	215	FEM24	Test	21.1	10.5
1286	7	215	FEM24	Test	21.1	10.6
1287	7	215	FEM24	Test	NA	NA
1288	7	215	FEM24	Test	21.2	9.9
