INDIV	REP	PLOT	FEMALE	TYPE	DBH	HT
149	1	25	FEM13	Test	23.2	12.2
150	1	25	FEM13	Test	22.2	13.3
151	1	26	FEM22	Test	26.5	11.6
152	1	26	FEM22	Test	NA	NA
153	1	26	FEM22	Test	24.1	11.6
154	1	26	FEM22	Test	22.9	13.5
155	1	26	FEM22	Test	22.5	11.1
156	1	26	FEM22	Test	23.1	11
157	1	27	FEM14	Test	21.5	11.2
158	1	27	FEM14	Test	21.3	11.6
159	1	27	FEM14	Test	21.5	12.3
160	1	27	FEM14	Test	20.1	10.9
161	1	27	FEM14	Test	27.5	13.7
162	1	27	FEM14	Test	21.2	14.1
163	1	28	FEM21	Test	21.1	11.8
164	1	28	FEM21	Test	23.4	10.9
165	1	28	FEM21	Test	21.7	11.2
166	1	28	FEM21	Test	23.7	11.7
167	1	28	FEM21	Test	22.4	12.2
168	1	28	FEM21	Test	18.7	11.7
169	1	29	C1	Control	26.9	12.5
170	1	29	C1	Control	20.4	11.5
171	1	29	C1	Control	12.5	8
172	1	29	C1	Control	17.3	9.9
173	1	29	C1	Control	NA	NA
174	1	29	C1	Control	24.5	12.7
175	1	30	FEM20	Test	18.7	11.9
176	1	30	FEM20	Test	NA	NA
177	1	30	FEM20	Test	21.5	12.3
178	1	30	FEM20	Test	24.5	11.9
179	1	30	FEM20	Test	NA	NA
180	1	30	FEM20	Test	23.6	9.9
181	1	31	C2	Control	25.8	13.7
182	1	31	C2	Control	24.9	NA
183	1	31	C2	Control	29.8	13.5
184	1	31	C2	Control	25.6	13
185	1	31	C2	Control	27.1	13.5
186	1	31	C2	Control	18.6	12.5
187	1	32	FEM19	Test	21.9	11.9
188	1	32	FEM19	Test	23.7	11.7
189	1	32	FEM19	Test	20.2	9.5
190	1	32	FEM19	Test	19.5	9.9
191	1	32	FEM19	Test	21.7	10.8
192	1	32	FEM19	Test	19.2	10.8
193	1	33	C3	Control	20.7	12.7
194	1	33	C3	Control	17.8	8.9
195	1	33	C3	Control	25.6	13.6
196	1	33	C3	Control	21.5	11.7
197	1	33	C3	Control	19.9	12.6
198	1	33	C3	Control	22.3	11.8
199	1	34	FEM18	Test	26.2	13.2
200	1	34	FEM18	Test	NA	NA
201	1	34	FEM18	Test	20.2	11.8
202	1	34	FEM18	Test	20.9	11.9
203	1	34	FEM18	Test	23.6	14.2
204	1	34	FEM18	Test	21.2	12.8
205	2	35	FEM8	Test	19.5	11.4
206	2	35	FEM8	Test	22.9	12.1
207	2	35	FEM8	Test	21.4	10.8
208	2	35	FEM8	Test	12.1	7.1
209	2	35	FEM8	Test	20.8	11.4
210	2	35	FEM8	Test	18.4	7.9
211	2	36	C2	Control	27.2	11.6
212	2	36	C2	Control	24	12.4
213	2	36	C2	Control	28.9	11.5
214	2	36	C2	Control	NA	NA
215	2	36	C2	Control	22.8	10.7
216	2	36	C2	Control	18.8	10
217	2	37	FEM11	Test	21.1	11.5
218	2	37	FEM11	Test	21.8	11.3
219	2	37	FEM11	Test	15	10.6
220	2	37	FEM11	Test	21.9	11
221	2	37	FEM11	Test	26.2	12.4
222	2	37	FEM11	Test	23.4	10.4
223	2	38	FEM21	Test	NA	NA
224	2	38	FEM21	Test	17.9	10.3
225	2	38	FEM21	Test	19.6	12.6
226	2	38	FEM21	Test	24.1	12.5
227	2	38	FEM21	Test	20.6	11.8
228	2	38	FEM21	Test	17.8	9.8
229	2	39	FEM2	Test	23.1	12.8
230	2	39	FEM2	Test	21.7	11
231	2	39	FEM2	Test	22.2	11.7
232	2	39	FEM2	Test	20	11.6
233	2	39	FEM2	Test	NA	NA
234	2	39	FEM2	Test	NA	NA
235	2	40	FEM25	Test	18.3	9.6
236	2	40	FEM25	Test	25.5	12.4
237	2	40	FEM25	Test	22.4	12.4
238	2	40	FEM25	Test	26	12.6
239	2	40	FEM25	Test	19.2	10
240	2	40	FEM25	Test	17.6	8.1
241	2	41	FEM17	Test	23.5	12.5
242	2	41	FEM17	Test	20.6	13.2
243	2	41	FEM17	Test	22.2	12.4
244	2	41	FEM17	Test	21.3	12.6
245	2	41	FEM17	Test	22.3	12.8
246	2	41	FEM17	Test	23.1	12
247	2	42	FEM15	Test	NA	NA
248	2	42	FEM15	Test	24.2	12.2
249	2	42	FEM15	Test	22.1	12.1
250	2	42	FEM15	Test	NA	NA
251	2	42	FEM15	Test	22.4	10.7
252	2	42	FEM15	Test	NA	NA
253	2	43	C3	Control	16.4	9.6
254	2	43	C3	Control	24.2	12.6
255	2	43	C3	Control	18	9.7
256	2	43	C3	Control	NA	NA
257	2	43	C3	Control	19.9	10.8
258	2	43	C3	Control	21.7	10.8
259	2	44	FEM24	Test	22.3	12.4
260	2	44	FEM24	Test	23.6	12.5
261	2	44	FEM24	Test	20.1	7.9
262	2	44	FEM24	Test	21	11.9
263	2	44	FEM24	Test	21.9	11.4
264	2	44	FEM24	Test	18.3	11.1
265	2	45	FEM10	Test	19	9.5
266	2	45	FEM10	Test	23.1	12.3
267	2	45	FEM10	Test	19.5	10.4
268	2	45	FEM10	Test	25	11.9
269	2	45	FEM10	Test	22.3	12.1
270	2	45	FEM10	Test	20.8	10.5
271	2	46	C3	Control	NA	NA
272	2	46	C3	Control	27.2	12.1
273	2	46	C3	Control	14.7	7.8
274	2	46	C3	Control	23.6	12.5
275	2	46	C3	Control	14.4	10.4
276	2	46	C3	Control	21	11.5
277	2	47	FEM13	Test	23.1	12.9
278	2	47	FEM13	Test	22.3	12.8
279	2	47	FEM13	Test	22.5	12.7
280	2	47	FEM13	Test	23	13.4
281	2	47	FEM13	Test	18.7	9.8
282	2	47	FEM13	Test	NA	NA
283	2	48	FEM28	Test	24.6	13.6
284	2	48	FEM28	Test	18.7	11.9
285	2	48	FEM28	Test	25.9	11.3
286	2	48	FEM28	Test	20.2	10.4
287	2	48	FEM28	Test	18.7	11.6
288	2	48	FEM28	Test	16.1	11.2
289	2	49	FEM6	Test	21.5	14.1
290	2	49	FEM6	Test	19.5	12.2
291	2	49	FEM6	Test	21.7	10.6
292	2	49	FEM6	Test	25.1	11.4
293	2	49	FEM6	Test	19.5	9.7
294	2	49	FEM6	Test	20.7	10.8
295	2	50	FEM20	Test	22.5	11.4
296	2	50	FEM20	Test	23.5	11.6
297	2	50	FEM20	Test	20.2	11.8
298	2	50	FEM20	Test	21.9	11
299	2	50	FEM20	Test	22.8	12.8
300	2	50	FEM20	Test	20.6	12.4
301	2	51	FEM3	Test	23.3	11.6
302	2	51	FEM3	Test	19.9	11.3
303	2	51	FEM3	Test	18.6	10.7
304	2	51	FEM3	Test	22.9	10.5
305	2	51	FEM3	Test	18.3	10.6
306	2	51	FEM3	Test	21.3	12.1
307	2	52	FEM23	Test	18.1	8.5
308	2	52	FEM23	Test	22.2	11.1
309	2	52	FEM23	Test	23.7	12.3
310	2	52	FEM23	Test	17.3	10.3
311	2	52	FEM23	Test	20.7	10.7
312	2	52	FEM23	Test	20.9	11.5
313	2	53	FEM16	Test	20.6	12.1
314	2	53	FEM16	Test	19	10.1
315	2	53	FEM16	Test	24.1	12.6
316	2	53	FEM16	Test	24.2	13.4
317	2	53	FEM16	Test	23.8	13.6
318	2	53	FEM16	Test	26.7	12.7
319	2	54	FEM1	Test	NA	NA
320	2	54	FEM1	Test	26.8	12.5
321	2	54	FEM1	Test	23.7	12
322	2	54	FEM1	Test	23.3	11.2
323	2	54	FEM1	Test	20.3	10.4
324	2	54	FEM1	Test	23.1	10.7
325	2	55	FEM26	Test	20.7	11
326	2	55	FEM26	Test	23.8	12.4
327	2	55	FEM26	Test	21.6	10.1
328	2	55	FEM26	Test	19.4	9.5
329	2	55	FEM26	Test	22.5	11.5
330	2	55	FEM26	Test	19	9.2
331	2	56	FEM5	Test	23.1	10.8
332	2	56	FEM5	Test	26.3	11.3
333	2	56	FEM5	Test	21.1	10.6
334	2	56	FEM5	Test	22.9	11.9
335	2	56	FEM5	Test	22.9	12
336	2	56	FEM5	Test	19.7	11.5
337	2	57	C1	Control	25.2	12.5
338	2	57	C1	Control	19.9	11.4
339	2	57	C1	Control	23.3	11.7
340	2	57	C1	Control	22.6	10.6
341	2	57	C1	Control	21.3	11
342	2	57	C1	Control	14.2	9.7
343	2	58	FEM9	Test	18.7	9.7
344	2	58	FEM9	Test	19.1	9.2
345	2	58	FEM9	Test	22.9	10.7
346	2	58	FEM9	Test	13.8	9.6
347	2	58	FEM9	Test	21.8	10.1
348	2	58	FEM9	Test	20.4	10.9
349	2	59	FEM22	Test	21.2	11.3
350	2	59	FEM22	Test	23.8	12
351	2	59	FEM22	Test	23.3	12.4
352	2	59	FEM22	Test	19.5	10.4
353	2	59	FEM22	Test	22.7	11.1
354	2	59	FEM22	Test	21.9	11.1
355	2	60	FEM12	Test	23.8	11.3
356	2	60	FEM12	Test	20.3	11.8
357	2	60	FEM12	Test	24.8	13.1
358	2	60	FEM12	Test	20.5	10.8
359	2	60	FEM12	Test	18.3	11
360	2	60	FEM12	Test	26.7	12.4
361	2	61	FEM4	Test	28.1	13.1
362	2	61	FEM4	Test	22.3	11.8
363	2	61	FEM4	Test	23.6	11.6
364	2	61	FEM4	Test	17	9.1
365	2	61	FEM4	Test	25.8	12.9
366	2	61	FEM4	Test	NA	NA
