ID	SireID 	DamID 	Family	Weight 
1210	1015	8	13	97.5
1211	1016	34	14	79.4
1212	1016	34	14	90.0
1213	1016	34	14	88.3
1214	1016	34	14	95.9
1215	1016	34	14	94.9
1216	1016	34	14	80.6
1217	1017	117	15	81.9
1218	1017	117	15	80.0
1219	1017	117	15	78.7
1220	1017	117	15	75.5
1221	1017	117	15	75.5
1222	1017	117	15	81.2
1223	1002	24	2	92.2
1224	1002	24	2	101.0
1225	1002	24	2	89.4
1226	1002	24	2	89.4
1227	1002	24	2	105.4
1228	1002	24	2	90.0
1229	1002	24	2	77.5
1230	1002	24	2	94.3
1231	1002	24	2	68.6
1232	1002	24	2	88.3
1233	1002	24	2	91.7
1234	1002	24	2	97.0
1235	1002	24	2	72.1
1236	1002	24	2	88.9
1237	1002	24	2	75.5
1238	1002	24	2	73.5
1239	1002	24	2	74.8
1240	1002	24	2	86.6
1241	1002	24	2	84.9
1242	1002	24	2	94.9
1243	1002	24	2	78.1
1244	1002	24	2	81.2
1245	1002	24	2	91.1
1246	1002	24	2	78.7
1247	1002	24	2	76.2
1248	1002	24	2	66.3
1249	1002	24	2	91.7
1250	1022	55	16	86.0
1251	1022	55	16	100.0
1252	1022	55	16	89.4
1253	1022	55	16	78.7
1254	1022	55	16	86.6
1255	1024	161	17	81.2
1256	1024	161	17	107.7
1257	1024	161	17	86.6
1258	1024	161	17	88.3
1259	1024	161	17	85.4
1260	1025	60	18	76.8
1261	1025	60	18	75.5
1262	1025	60	18	94.9
1263	1025	60	18	72.1
1264	1025	60	18	88.9
1265	1025	60	18	81.9
1266	1025	60	18	88.3
1267	1025	60	18	72.1
1268	1025	60	18	74.8
1269	1026	23	19	76.8
1270	1026	23	19	107.2
1271	1026	23	19	84.9
1272	1026	23	19	73.5
1273	1026	23	19	88.3
1274	1026	23	19	83.1
1275	1026	23	19	90.6
1276	1026	23	19	94.9
1277	1026	23	19	63.2
1278	1028	129	20	82.5
1279	1028	129	20	91.7
1280	1028	129	20	86.6
1281	1028	129	20	111.4
1282	1028	129	20	78.7
1283	1028	129	20	101.0
1284	1028	129	20	99.0
1285	1028	129	20	80.6
1286	1028	129	20	103.9
1287	1028	129	20	75.5
1288	1028	129	20	94.3
1289	1028	129	20	87.7
1290	1028	129	20	83.1
1291	1028	129	20	97.5
1292	1028	129	20	99.0
1293	1028	129	20	78.7
1294	1028	129	20	77.5
1295	1028	129	20	86.6
1296	1003	3	3	96.4
1297	1003	3	3	76.8
1298	1003	3	3	90.6
1299	1003	3	3	74.8
1300	1003	3	3	92.2
1301	1003	3	3	90.6
1302	1003	3	3	70.0
1303	1003	3	3	86.6
1304	1003	3	3	79.4
1305	1003	3	3	83.7
1306	1003	3	3	94.9
1307	1003	3	3	86.0
1308	1003	3	3	92.2
1309	1003	3	3	79.4
1310	1003	3	3	86.0
1311	1003	3	3	86.6
1312	1003	3	3	76.8
1313	1003	3	3	71.4
1314	1003	3	3	84.9
1315	1003	3	3	93.8
1316	1003	3	3	81.2
1317	1003	3	3	84.9
1318	1003	3	3	84.9
1319	1003	3	3	100.0
1320	1003	3	3	86.0
1321	1003	3	3	82.5
1322	1003	3	3	84.9
1323	1003	3	3	89.4
1324	1003	3	3	91.7
1325	1003	3	3	88.3
1326	1003	3	3	65.6
1327	1003	3	3	78.7
1328	1003	3	3	64.8
1329	1003	3	3	67.1
1330	1003	3	3	88.3
1331	1003	3	3	93.8
1332	1003	3	3	98.5
1333	1003	3	3	78.1
1334	1003	3	3	60.8
1335	1031	56	21	81.2
1336	1031	56	21	84.3
1337	1031	56	21	90.6
1338	1031	56	21	100.0
1339	1031	56	21	94.9
1340	1031	56	21	105.8
1341	1031	56	21	87.7
1342	1031	56	21	91.7
1343	1031	56	21	94.3
1344	1031	56	21	90.0
1345	1031	56	21	90.0
1346	1031	56	21	70.7
1347	1031	56	21	80.0
1348	1031	56	21	95.4
1349	1031	56	21	74.2
1350	1031	56	21	79.4
1351	1031	56	21	106.3
1352	1031	56	21	88.3
1353	1031	56	21	94.9
1354	1031	56	21	92.2
1355	1031	56	21	83.1
1356	1031	56	21	70.7
1357	1031	56	21	95.4
1358	1031	56	21	90.6
1359	1031	56	21	87.2
1360	1031	56	21	91.7
1361	1031	56	21	85.4
1362	1031	56	21	72.1
1363	1031	56	21	78.7
1364	1004	21	4	78.1
1365	1004	21	4	93.8
1366	1004	21	4	95.4
1367	1004	21	4	93.8
1368	1004	21	4	81.9
1369	1004	21	4	89.4
1370	1004	21	4	73.5
1371	1004	21	4	72.8
1372	1004	21	4	76.2
1373	1004	21	4	74.2
1374	1004	21	4	84.3
1375	1004	21	4	73.5
1376	1004	21	4	79.4
1377	1004	21	4	77.5
1378	1004	21	4	74.8
1379	1004	21	4	90.0
1380	1004	21	4	84.9
1381	1004	21	4	75.5
1382	1004	21	4	102.0
1383	1004	21	4	74.2
1384	1004	21	4	90.6
1385	1004	21	4	84.9
1386	1004	21	4	72.1
1387	1004	21	4	90.6
1388	1004	21	4	77.5
1389	1004	21	4	79.4
1390	1004	21	4	97.5
